,Attrition_Flag,Gender,Income_Category,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Utilization_Ratio,monthly_Trans_Ct,monthly_Trans_Amt
0,0,0,2,5,1,3,12691.0,777.0,0.061,1.0769230769230769,29.333333333333332
1,0,1,4,6,1,2,8256.0,864.0,0.105,0.75,29.34090909090909
2,0,0,3,4,1,0,3418.0,0.0,0.0,0.5555555555555556,52.416666666666664
3,0,1,4,3,4,1,3313.0,2517.0,0.76,0.5882352941176471,34.44117647058823
4,0,0,2,5,1,0,4716.0,0.0,0.0,1.3333333333333333,38.857142857142854
5,0,0,1,3,1,2,4010.0,1247.0,0.311,0.6666666666666666,30.22222222222222
6,0,0,0,6,1,3,23836.25,2264.0,0.066,0.6739130434782609,28.91304347826087
7,0,0,2,2,2,2,23836.25,1396.0,0.048,1.3333333333333333,56.96296296296296
8,0,0,2,5,2,0,22352.0,2517.0,0.113,0.6666666666666666,37.5
9,0,0,3,6,3,3,11656.0,1677.0,0.144,0.8888888888888888,40.02777777777778
10,0,0,0,5,3,2,6748.0,1467.0,0.217,1.3548387096774193,38.74193548387097
11,0,0,1,6,2,3,9095.0,1587.0,0.174,0.48148148148148145,24.333333333333332
12,0,0,3,3,6,0,11751.0,0.0,0.0,0.4722222222222222,42.75
13,0,0,2,5,1,3,8547.0,1666.0,0.195,1.1,43.7
14,0,1,4,5,2,2,2436.0,680.0,0.279,0.6041666666666666,32.708333333333336
15,0,0,3,5,1,2,4234.0,972.0,0.23,0.7297297297297297,36.432432432432435
16,0,0,3,6,2,3,23836.25,2362.0,0.078,0.75,46.416666666666664
17,0,0,3,4,4,1,13535.0,1291.0,0.095,0.6176470588235294,30.235294117647058
18,0,0,1,2,2,3,3193.0,2517.0,0.788,0.5357142857142857,23.857142857142858
19,0,1,2,6,1,2,14470.0,1157.0,0.08,0.5675675675675675,32.62162162162162
20,0,0,2,5,2,0,20979.0,1800.0,0.086,0.6428571428571429,28.047619047619047
21,1,1,4,2,3,3,1438.3,0.0,0.0,0.32653061224489793,14.122448979591837
22,0,0,1,4,2,1,4470.0,680.0,0.152,0.5454545454545454,28.21212121212121
23,0,1,4,3,3,2,2492.0,1560.0,0.626,0.6388888888888888,31.27777777777778
24,0,0,3,4,2,3,12217.0,0.0,0.0,0.5,26.428571428571427
25,0,1,4,6,1,2,7768.0,1669.0,0.215,0.7857142857142857,37.535714285714285
26,0,0,1,4,1,2,14784.0,1374.0,0.093,0.5,26.02173913043478
27,0,0,2,3,3,2,10215.0,1010.0,0.099,0.7142857142857143,34.0
28,0,1,1,5,2,2,10100.0,0.0,0.0,0.5294117647058824,30.941176470588236
29,0,0,1,6,0,0,4785.0,1362.0,0.285,0.9047619047619048,24.88095238095238
30,0,0,3,3,2,3,2753.0,1811.0,0.658,0.7575757575757576,31.454545454545453
31,0,0,2,2,5,1,2451.0,1690.0,0.69,0.5416666666666666,33.25
32,0,0,2,4,1,2,8923.0,2517.0,0.282,0.6666666666666666,44.138888888888886
33,0,1,4,5,2,3,2650.0,1490.0,0.562,0.7368421052631579,37.13157894736842
34,0,0,3,6,2,2,12555.0,1696.0,0.135,0.4897959183673469,26.346938775510203
35,0,1,4,4,2,1,3520.0,1914.0,0.544,1.1944444444444444,39.083333333333336
36,0,1,4,6,2,3,3035.0,2298.0,0.757,1.0277777777777777,52.138888888888886
37,0,1,4,2,3,3,15433.0,0.0,0.0,0.6111111111111112,26.833333333333332
38,0,1,1,3,3,2,3672.0,886.0,0.241,0.5714285714285714,29.877551020408163
39,1,1,1,5,4,3,7882.0,605.0,0.077,0.2857142857142857,12.571428571428571
40,0,0,3,2,2,2,23836.25,578.0,0.018,0.6829268292682927,27.048780487804876
41,0,0,1,4,1,0,6205.0,2204.0,0.355,0.6363636363636364,30.613636363636363
42,0,1,1,3,2,3,17304.0,2517.0,0.145,0.7674418604651163,40.83720930232558
43,0,0,2,5,2,1,3906.0,0.0,0.0,0.8648648648648649,47.45945945945946
44,0,1,1,2,3,3,9830.0,2055.0,0.209,0.8214285714285714,37.214285714285715
45,0,0,3,3,2,3,23836.25,0.0,0.0,0.9333333333333333,48.13333333333333
46,0,0,2,6,2,0,2283.0,1430.0,0.626,0.6,38.68888888888889
47,0,0,1,3,2,2,2548.0,2020.0,0.793,0.5192307692307693,33.05769230769231
48,0,0,3,4,3,3,19458.0,1435.0,0.074,0.675,30.425
49,0,0,3,5,1,1,4745.0,1227.0,0.259,1.0,28.5
50,0,1,4,6,3,2,2622.0,1549.0,0.591,0.7317073170731707,45.80487804878049
51,1,1,4,2,3,1,1438.3,808.0,0.562,0.475,17.625
52,0,1,4,3,4,2,3171.0,2179.0,0.687,0.7037037037037037,36.03703703703704
53,0,0,0,4,2,0,19763.0,2517.0,0.127,0.9722222222222222,39.27777777777778
54,1,0,0,1,3,3,15769.0,0.0,0.0,0.4166666666666667,16.72222222222222
55,0,1,4,6,4,2,3298.0,2200.0,0.667,0.8888888888888888,29.22222222222222
56,0,1,4,2,2,0,2802.0,2363.0,0.843,1.1111111111111112,35.97222222222222
57,0,0,1,4,2,3,4458.0,1880.0,0.422,0.58,28.48
58,0,1,1,4,1,2,6273.0,978.0,0.156,0.7142857142857143,38.82857142857143
59,0,0,2,4,4,3,3336.0,1753.0,0.525,0.7941176470588235,34.35294117647059
60,0,0,3,4,2,3,3436.0,2016.0,0.587,0.7021276595744681,23.340425531914892
61,1,0,2,2,4,4,23836.25,0.0,0.0,0.42857142857142855,19.742857142857144
62,0,0,2,5,3,3,5926.0,1251.0,0.211,0.8484848484848485,39.878787878787875
63,0,0,0,2,4,2,23836.25,2102.0,0.088,0.8125,39.875
64,0,0,0,4,2,2,14734.0,1634.0,0.111,0.5227272727272727,29.295454545454547
65,0,0,3,4,1,4,23836.25,1515.0,0.044,0.8421052631578947,34.026315789473685
66,0,0,2,5,3,3,6584.0,1817.0,0.276,0.6730769230769231,26.01923076923077
67,0,1,4,6,3,3,2084.0,1468.0,0.704,1.4,56.6
68,0,0,2,2,2,2,1687.0,1107.0,0.656,0.53125,52.1875
69,0,0,3,6,2,2,23836.25,1330.0,0.053,0.39473684210526316,22.026315789473685
70,0,0,0,3,2,3,23836.25,1763.0,0.051,0.9761904761904762,36.904761904761905
71,0,1,4,5,3,3,2216.0,1034.0,0.467,0.8571428571428571,36.666666666666664
72,0,0,2,4,2,3,2910.0,2030.0,0.698,0.4883720930232558,29.209302325581394
73,0,0,3,6,2,2,22913.0,1528.0,0.067,0.9459459459459459,37.67567567567568
74,0,0,2,3,3,3,23836.25,1932.0,0.079,0.6857142857142857,38.31428571428572
75,0,0,3,5,3,2,5272.0,1515.0,0.287,0.9166666666666666,35.80555555555556
76,0,1,4,6,4,2,7000.0,2517.0,0.36,0.6388888888888888,30.88888888888889
77,0,1,4,4,4,2,7038.0,1801.0,0.256,1.9655172413793103,80.65517241379311
78,0,0,2,6,1,2,2536.0,1823.0,0.719,0.7666666666666667,48.93333333333333
79,0,0,3,6,3,2,23836.25,1899.0,0.066,0.9210526315789473,35.10526315789474
80,0,0,2,4,4,0,8567.0,1695.0,0.198,1.1081081081081081,39.37837837837838
81,0,0,0,6,2,2,23836.25,1533.0,0.044,0.8055555555555556,44.52777777777778
82,1,1,1,2,4,3,2158.0,0.0,0.0,0.26666666666666666,13.666666666666666
83,0,1,1,2,3,3,10133.0,1417.0,0.14,0.38461538461538464,20.53846153846154
84,0,0,3,5,4,2,23836.25,1219.0,0.035,0.7714285714285715,45.42857142857143
85,0,0,2,5,3,0,3085.0,1910.0,0.619,0.7446808510638298,32.57446808510638
86,0,0,0,4,2,1,19040.0,2056.0,0.108,0.8857142857142857,34.628571428571426
87,0,1,4,5,2,3,4026.0,0.0,0.0,0.9142857142857143,35.34285714285714
88,0,0,2,4,3,1,12756.0,837.0,0.066,0.45161290322580644,45.58064516129032
89,0,0,0,5,3,3,5266.0,0.0,0.0,0.6444444444444445,33.68888888888889
90,0,1,4,3,2,2,9930.0,0.0,0.0,0.5833333333333334,35.44444444444444
91,0,0,3,4,3,0,23836.25,1953.0,0.062,0.9210526315789473,41.1578947368421
92,0,0,1,4,4,3,6576.0,0.0,0.0,0.9444444444444444,40.69444444444444
93,0,0,3,5,4,1,2664.0,2037.0,0.765,0.6904761904761905,30.61904761904762
94,0,1,4,5,1,2,2535.0,2440.0,0.963,0.7142857142857143,46.857142857142854
95,0,0,4,6,4,3,1709.0,895.0,0.524,0.6153846153846154,32.17307692307692
96,0,0,1,5,4,2,3454.0,1200.0,0.347,0.8571428571428571,37.51428571428571
97,0,0,1,5,3,2,3789.0,1706.0,0.45,1.2,45.97142857142857
98,0,0,0,3,2,0,9689.0,2250.0,0.232,0.38,23.16
99,1,0,3,2,3,3,5449.0,1628.0,0.299,0.4864864864864865,22.594594594594593
100,0,1,0,4,4,0,23032.0,1960.0,0.085,0.5116279069767442,29.976744186046513
101,0,1,0,5,3,3,23836.25,2053.0,0.059,0.7647058823529411,43.73529411764706
102,0,0,0,6,2,2,2940.0,1264.0,0.43,0.9705882352941176,37.029411764705884
103,0,1,4,3,3,3,3031.0,1879.0,0.62,0.46875,40.5625
104,0,0,2,3,3,0,1862.0,0.0,0.0,1.36,49.04
105,0,1,4,2,3,3,8358.0,926.0,0.111,1.121212121212121,47.45454545454545
106,0,0,0,6,1,2,23836.25,931.0,0.027,0.5833333333333334,28.38888888888889
107,0,0,2,5,2,3,14450.0,2440.0,0.169,0.8333333333333334,34.30555555555556
108,0,1,4,6,0,0,1438.3,0.0,0.0,0.7857142857142857,34.839285714285715
109,0,0,0,6,3,2,23836.25,1960.0,0.058,0.8611111111111112,29.083333333333332
110,0,0,2,4,3,0,8466.0,1886.0,0.223,0.8205128205128205,34.41025641025641
111,0,0,2,5,3,3,15088.0,865.0,0.057,0.5833333333333334,30.75
112,0,0,2,5,1,2,3263.0,1674.0,0.513,0.9722222222222222,34.75
113,0,1,4,2,2,2,1494.0,706.0,0.473,0.6666666666666666,36.25
114,0,0,3,6,1,0,13551.0,1294.0,0.095,1.0571428571428572,39.65714285714286
115,0,0,3,6,2,2,18886.0,895.0,0.047,0.5,34.30555555555556
116,0,0,3,3,2,0,11976.0,1273.0,0.106,0.75,43.520833333333336
117,0,0,3,4,1,4,9964.0,1559.0,0.156,0.6410256410256411,41.69230769230769
118,0,0,2,4,6,3,23836.25,1196.0,0.05,0.6666666666666666,30.86111111111111
119,0,1,4,3,2,3,5362.0,1901.0,0.355,0.8636363636363636,35.29545454545455
120,0,0,0,3,2,2,23836.25,1023.0,0.03,0.3611111111111111,29.555555555555557
121,0,1,4,4,1,0,3174.0,1951.0,0.615,0.8055555555555556,34.52777777777778
122,0,0,3,3,2,2,12262.0,1836.0,0.15,0.8085106382978723,35.297872340425535
123,0,1,1,4,3,3,3788.0,1540.0,0.407,1.146341463414634,38.8780487804878
124,0,0,0,2,3,2,23836.25,1527.0,0.044,1.0,30.19047619047619
125,0,0,2,4,2,2,2926.0,0.0,0.0,0.6666666666666666,36.22222222222222
126,0,0,0,6,1,0,23836.25,0.0,0.0,0.5769230769230769,26.307692307692307
127,1,0,3,3,3,2,11669.0,2227.0,0.191,0.5609756097560976,17.5609756097561
128,0,0,1,3,1,2,13532.0,1300.0,0.096,0.6444444444444445,33.8
129,0,1,4,4,2,2,11888.0,2090.0,0.176,0.8333333333333334,31.583333333333332
130,0,1,4,5,1,2,2393.0,1985.0,0.83,0.4444444444444444,27.166666666666668
131,0,0,1,5,1,2,6111.0,2517.0,0.412,0.41025641025641024,31.307692307692307
132,0,0,3,3,2,3,19270.0,1662.0,0.086,0.6086956521739131,34.02173913043478
133,0,0,3,3,1,4,3710.0,2517.0,0.678,0.7906976744186046,36.69767441860465
134,0,0,4,2,1,3,3235.0,797.0,0.246,0.8648648648648649,40.351351351351354
135,0,1,1,3,1,0,11749.0,788.0,0.067,0.7105263157894737,31.0
136,0,0,2,5,3,2,7753.0,2100.0,0.271,0.7222222222222222,27.52777777777778
137,0,0,2,5,1,0,10408.0,1186.0,0.114,1.05,64.0
138,0,1,4,6,2,3,3967.0,1568.0,0.395,0.8055555555555556,46.02777777777778
139,0,1,4,4,2,2,6205.0,2517.0,0.406,0.7037037037037037,44.592592592592595
140,1,1,4,1,3,3,8025.0,0.0,0.0,0.47368421052631576,17.710526315789473
141,0,0,0,6,2,3,9036.0,2327.0,0.258,0.42857142857142855,26.928571428571427
142,0,0,3,2,3,2,14926.0,2517.0,0.169,0.7352941176470589,46.35294117647059
143,0,1,4,3,2,3,6335.0,1128.0,0.178,0.5555555555555556,33.80555555555556
144,1,0,2,2,3,3,14979.0,0.0,0.0,0.18867924528301888,10.0
145,1,1,4,3,2,3,2732.0,0.0,0.0,0.42105263157894735,19.44736842105263
146,0,1,4,6,3,2,2250.0,2117.0,0.941,0.96875,50.53125
147,0,0,0,3,2,0,10916.0,1536.0,0.141,0.68,31.84
148,0,1,4,4,1,3,5349.0,1228.0,0.23,0.8333333333333334,37.30555555555556
149,0,0,3,4,1,3,9366.0,1104.0,0.118,1.625,54.291666666666664
150,0,0,3,5,1,0,21617.0,0.0,0.0,0.7857142857142857,48.25
151,0,0,2,5,2,3,13860.0,1652.0,0.119,0.5714285714285714,34.107142857142854
152,0,1,1,2,2,3,18386.0,0.0,0.0,0.7096774193548387,41.87096774193548
153,0,0,2,6,2,2,2405.0,1540.0,0.64,0.7073170731707317,26.51219512195122
154,0,1,4,4,2,3,2154.0,930.0,0.432,0.5531914893617021,30.617021276595743
155,0,1,1,3,3,3,2038.0,0.0,0.0,0.7777777777777778,34.388888888888886
156,0,1,1,6,1,3,8135.0,0.0,0.0,0.7631578947368421,45.1578947368421
157,0,0,0,6,1,3,9364.0,618.0,0.066,0.7105263157894737,28.92105263157895
158,0,1,0,4,3,2,23836.25,0.0,0.0,0.6857142857142857,30.228571428571428
159,0,1,4,2,3,1,3195.0,1954.0,0.612,0.8529411764705882,37.794117647058826
160,0,0,3,5,2,1,2852.0,1024.0,0.359,0.6511627906976745,38.395348837209305
161,0,1,4,2,3,3,4224.0,1305.0,0.309,0.8611111111111112,32.0
